item_id,name,price,quantity,datetime
10259,grain of sand,100,3,2020-06-28 19:32:47.351079
3440,prismatic wad,9500,3,2020-06-28 20:01:44.359661
3760,breath mint,1800,1,2020-06-28 20:01:45.195834
6364,pulled blue taffy,500,5,2020-06-28 20:01:48.862150
4394,Crimbo fudge,700,1,2020-06-28 20:01:53.707749
304,dry noodles,200,15,2020-06-28 20:01:54.111250
333,lime,200,2,2020-06-28 20:01:55.527591
4463,chocolate turtle totem,4100,1,2020-06-28 20:01:58.217491
3511,scratch 'n' sniff UPC sticker,1000,1,2020-06-28 20:02:04.604112
10259,grain of sand,100,30,2020-06-28 20:04:31.136996
8486,one-day ticket to That 70s Volcano,294000,1,2020-06-28 20:14:36.576293
8204,one-day ticket to Dinseylandfill,99000,1,2020-06-28 20:14:53.999626
9537,pocket wish,49800,3,2020-06-28 20:15:14.808091
9537,pocket wish,49900,3,2020-06-28 20:15:49.553380
4463,chocolate turtle totem,4100,1,2020-06-28 20:16:27.234084
3575,sand dollar,200,3,2020-06-28 20:16:36.291785
3760,breath mint,1800,2,2020-06-28 20:16:52.489274
4394,Crimbo fudge,700,3,2020-06-28 20:17:00.002342
9537,pocket wish,49800,3,2020-06-28 20:17:00.923779
9537,pocket wish,48000,2,2020-06-28 20:18:14.392581
8763,BACON,199,100,2020-06-28 20:30:54.535386
9537,pocket wish,49900,3,2020-06-28 20:43:30.660033
4393,Crimbo peppermint bark,300,1,2020-06-28 21:04:27.748002
9537,pocket wish,49800,3,2020-06-28 21:04:28.920662
9924,Special Seasoning,666,45,2020-06-28 21:16:27.638020
9537,pocket wish,49800,4,2020-06-28 21:16:34.439269
9537,pocket wish,49800,3,2020-06-28 21:17:08.485005
9537,pocket wish,49901,6,2020-06-28 21:29:10.387830
8740,perfect mimosa,2100,1,2020-06-28 21:31:07.135331
9537,pocket wish,49800,18,2020-06-28 21:34:08.517601
6364,pulled blue taffy,500,13,2020-06-28 21:35:43.242361
4393,Crimbo peppermint bark,300,5,2020-06-28 21:35:47.159256
4394,Crimbo fudge,700,4,2020-06-28 21:35:47.570116
304,dry noodles,200,29,2020-06-28 21:35:47.968953
333,lime,200,11,2020-06-28 21:35:49.399603
346,scrumptious reagent,800,30,2020-06-28 21:35:50.533069
7006,handful of Smithereens,3800,15,2020-06-28 21:35:51.627842
9537,pocket wish,49800,3,2020-06-28 21:39:09.831094
9537,pocket wish,49800,3,2020-06-28 21:44:05.015850
9537,pocket wish,49000,3,2020-06-28 22:24:31.051677
3440,prismatic wad,10000,3,2020-06-28 22:24:55.958860
4508,&quot;DRINK ME&quot; potion,100,1,2020-06-28 22:25:11.045091
9537,pocket wish,49000,3,2020-06-28 22:39:48.435692
8763,BACON,195,100,2020-06-28 22:57:39.363359
9537,pocket wish,49800,6,2020-06-28 23:11:46.043070
8763,BACON,200,506,2020-06-28 23:22:59.778419
8763,BACON,100,1,2020-06-28 23:36:02.231621
9537,pocket wish,49800,5,2020-06-28 23:36:06.561581
8763,BACON,195,2,2020-06-28 23:36:07.250786
8763,BACON,200,3,2020-06-28 23:36:11.131100
8763,BACON,200,3,2020-06-28 23:36:14.562772
8763,BACON,222,3,2020-06-28 23:36:17.980010
9537,pocket wish,45000,3,2020-06-28 23:56:00.979682
8763,BACON,120,1,2020-06-29 07:24:20.330005
8486,one-day ticket to That 70s Volcano,294420,1,2020-06-29 07:24:20.746448
9537,pocket wish,49700,1,2020-06-29 07:24:24.862477
8763,BACON,195,95,2020-06-29 07:24:25.542562
9537,pocket wish,49800,1,2020-06-29 07:24:29.070743
9537,pocket wish,49800,15,2020-06-29 07:24:32.542923
9537,pocket wish,49900,3,2020-06-29 07:24:36.021150
9537,pocket wish,49900,3,2020-06-29 07:24:39.502748
9537,pocket wish,49900,3,2020-06-29 07:24:42.921589
9537,pocket wish,49900,3,2020-06-29 07:24:46.431920
9537,pocket wish,49900,3,2020-06-29 07:24:49.959502
9537,pocket wish,49900,3,2020-06-29 07:24:53.386445
9537,pocket wish,49900,3,2020-06-29 07:28:46.110228
8763,BACON,169,1,2020-06-29 08:00:53.788348
9537,pocket wish,49900,3,2020-06-29 08:00:58.545255
9537,pocket wish,49900,3,2020-06-29 08:01:02.116033
9537,pocket wish,49900,3,2020-06-29 08:01:05.666340
9537,pocket wish,49900,3,2020-06-29 08:01:09.191183
8204,one-day ticket to Dinseylandfill,100000,1,2020-06-29 08:53:03.371736
4622,Game Grid ticket,700,1,2020-06-29 08:53:03.792698
8740,perfect mimosa,120,1,2020-06-29 08:53:05.402978
2597,leathery bat skin,1200,1,2020-06-29 08:53:05.840877
1593,cold hi mein,288,1,2020-06-29 08:53:07.470871
595,scroll of drastic healing,750,1,2020-06-29 08:53:09.587936
10259,grain of sand,100,5,2020-06-29 08:53:12.205039
304,dry noodles,199,50,2020-06-29 08:53:22.624187
824,effervescent potion,500,5,2020-06-29 08:53:23.059223
9537,pocket wish,49900,3,2020-06-29 08:53:23.520394
346,scrumptious reagent,600,1,2020-06-29 08:53:25.415794
4467,chocolate stolen accordion,3500,5,2020-06-29 08:53:28.466340
8066,powdered gold,8200,4,2020-06-29 08:53:29.869264
1455,sleaze wad,670,7,2020-06-29 08:53:33.312920
3511,scratch 'n' sniff UPC sticker,1000,1,2020-06-29 08:53:33.762255
8640,Ghost Dog Chow,500,1,2020-06-29 08:53:34.669122
3575,sand dollar,200,1,2020-06-29 08:53:37.026252
8204,one-day ticket to Dinseylandfill,100000,1,2020-06-29 08:54:34.835591
595,scroll of drastic healing,750,1,2020-06-29 08:54:40.559386
9537,pocket wish,49900,3,2020-06-29 08:54:53.990152
346,scrumptious reagent,875,1,2020-06-29 08:54:55.953055
4508,&quot;DRINK ME&quot; potion,130,1,2020-06-29 08:55:00.803223
8640,Ghost Dog Chow,750,1,2020-06-29 08:55:04.441941
8204,one-day ticket to Dinseylandfill,100000,3,2020-06-29 08:55:12.690975
9537,pocket wish,49900,3,2020-06-29 08:55:31.377241
8204,one-day ticket to Dinseylandfill,100000,2,2020-06-29 08:55:46.937104
9537,pocket wish,49900,3,2020-06-29 08:56:05.844683
9537,pocket wish,49949,56,2020-06-29 08:56:40.057701
9537,pocket wish,49949,3,2020-06-29 08:57:15.900927
8763,BACON,225,103,2020-06-29 09:04:32.455503
9537,pocket wish,49500,3,2020-06-29 09:13:18.080564
9537,pocket wish,49949,10,2020-06-29 09:13:51.733937
706,porquoise,20000,1,2020-06-29 09:20:21.744044
9537,pocket wish,49500,50,2020-06-29 09:22:11.605922
8763,BACON,225,622,2020-06-29 09:22:49.444264
9537,pocket wish,49800,9,2020-06-29 09:23:19.920125
4470,BRICKO eye brick,1750,3,2020-06-29 09:23:57.814240
8204,one-day ticket to Dinseylandfill,95000,1,2020-06-29 09:30:08.358602
9537,pocket wish,49000,3,2020-06-29 09:31:33.830239
333,lime,1500,6,2020-06-29 09:32:08.206808
3511,scratch 'n' sniff UPC sticker,1000,1,2020-06-29 09:32:49.677268
9537,pocket wish,49900,3,2020-06-29 09:33:14.587841
9537,pocket wish,49900,3,2020-06-29 09:33:47.984536
9537,pocket wish,49900,3,2020-06-29 09:34:21.292765
9537,pocket wish,49900,3,2020-06-29 09:34:55.201857
9537,pocket wish,49800,3,2020-06-29 09:54:08.191998
8204,one-day ticket to Dinseylandfill,100000,8,2020-06-29 12:34:03.115081
10259,grain of sand,100,4,2020-06-29 12:34:11.470857
8486,one-day ticket to That 70s Volcano,250000,1,2020-06-29 12:34:21.483719
304,dry noodles,199,8,2020-06-29 12:34:22.466679
333,lime,1499,2,2020-06-29 12:34:24.013429
346,scrumptious reagent,600,4,2020-06-29 12:34:25.321850
7005,lump of Brituminous coal,100,3,2020-06-29 12:34:26.263065
3575,sand dollar,200,3,2020-06-29 12:34:36.765500
8204,one-day ticket to Dinseylandfill,100000,1,2020-06-29 12:35:37.478206
304,dry noodles,199,5,2020-06-29 12:35:56.554305
4508,&quot;DRINK ME&quot; potion,100,1,2020-06-29 12:36:04.036251
304,dry noodles,199,1,2020-06-29 12:36:33.119594
8763,BACON,169,100,2020-06-29 12:36:36.956740
304,dry noodles,199,5,2020-06-29 12:37:08.364442
6913,warbear whosit,800,46,2020-06-29 12:49:49.189240
9537,pocket wish,49900,3,2020-06-29 12:49:51.918125
4508,&quot;DRINK ME&quot; potion,100,2,2020-06-29 13:37:44.517375
824,effervescent potion,490,8,2020-06-29 13:50:01.480959
10259,grain of sand,100,26,2020-06-29 14:04:00.579375
595,scroll of drastic healing,369,2,2020-06-29 14:33:00.778800
593,phonics down,269,3,2020-06-29 14:34:02.532718
304,dry noodles,199,5,2020-06-29 14:53:55.007359
1455,sleaze wad,675,26,2020-06-29 15:22:12.403844
824,effervescent potion,463,2,2020-06-29 15:23:45.116040
10259,grain of sand,100,22,2020-06-29 15:32:02.289153
304,dry noodles,199,10,2020-06-29 15:32:17.926635
304,dry noodles,199,3,2020-06-29 16:07:01.304475
9537,pocket wish,49800,3,2020-06-29 16:09:44.391996
9537,pocket wish,49500,3,2020-06-29 16:21:18.623693
1006,cherry,1800,269,2020-06-29 16:25:10.831545
824,effervescent potion,500,5,2020-06-29 16:51:41.002683
2597,leathery bat skin,729,34,2020-06-29 17:00:38.037766
304,dry noodles,198,10,2020-06-29 17:03:38.342904
9537,pocket wish,49800,1,2020-06-29 17:17:40.653154
2597,leathery bat skin,729,39,2020-06-29 17:20:05.182937
304,dry noodles,199,20,2020-06-29 17:26:15.001115
8486,one-day ticket to That 70s Volcano,293000,5,2020-06-29 17:31:32.061250
304,dry noodles,198,10,2020-06-29 17:37:57.793400
9537,pocket wish,49900,3,2020-06-29 18:01:39.525971
426,potion of temporary gr8ness,100,2,2020-06-29 18:24:18.024939
9537,pocket wish,49000,3,2020-06-29 18:28:14.565938
8204,one-day ticket to Dinseylandfill,99000,1,2020-06-29 18:28:31.064225
2708,funky dried mushroom,3266,39,2020-06-29 19:28:50.270256
9537,pocket wish,49000,61,2020-06-29 19:33:05.427767
8763,BACON,100,1,2020-06-29 20:17:57.518374
333,lime,1498,2,2020-06-29 20:30:59.959957
9537,pocket wish,49901,3,2020-06-29 20:45:25.068127
9537,pocket wish,49900,3,2020-06-29 21:37:46.949198
9537,pocket wish,48000,1,2020-06-29 22:02:28.206317
9537,pocket wish,49900,3,2020-06-29 22:08:31.421230
4463,chocolate turtle totem,3500,1,2020-06-29 22:11:34.418850
4394,Crimbo fudge,950,99,2020-06-29 22:12:01.070680
304,dry noodles,101,12,2020-06-29 22:12:01.481472
333,lime,1490,10,2020-06-29 22:22:08.814682
9537,pocket wish,49000,3,2020-06-29 22:23:38.743469
9537,pocket wish,49900,3,2020-06-29 22:27:23.669841
9537,pocket wish,49900,3,2020-06-29 22:36:53.754528
8486,one-day ticket to That 70s Volcano,292000,1,2020-06-29 22:47:57.810084
8204,one-day ticket to Dinseylandfill,99999,3,2020-06-29 22:48:12.889223
8204,one-day ticket to Dinseylandfill,99000,3,2020-06-29 22:56:56.047914
824,effervescent potion,499,15,2020-06-29 23:03:34.960307
9537,pocket wish,49900,3,2020-06-29 23:14:41.216184
9537,pocket wish,49900,6,2020-06-29 23:22:52.885311
4622,Game Grid ticket,700,1,2020-06-29 23:36:38.255655
8740,perfect mimosa,120,1,2020-06-29 23:36:39.804169
2597,leathery bat skin,1200,1,2020-06-29 23:36:40.205062
1593,cold hi mein,288,1,2020-06-29 23:36:41.808820
593,phonics down,269,3,2020-06-29 23:36:43.689853
595,scroll of drastic healing,750,1,2020-06-29 23:36:44.089693
10259,grain of sand,100,5,2020-06-29 23:36:47.502592
304,dry noodles,199,20,2020-06-29 23:37:00.569443
824,effervescent potion,500,5,2020-06-29 23:37:01.066
9537,pocket wish,48000,1,2020-06-29 23:37:01.562912
333,lime,1499,2,2020-06-29 23:37:02.622189
346,scrumptious reagent,875,1,2020-06-29 23:37:03.866052
8763,BACON,100,1,2020-06-29 23:37:05.484205
3511,scratch 'n' sniff UPC sticker,1000,1,2020-06-29 23:37:12.129198
8640,Ghost Dog Chow,500,1,2020-06-29 23:37:13.296459
3575,sand dollar,200,1,2020-06-29 23:37:15.853008
595,scroll of drastic healing,750,1,2020-06-29 23:38:22.389546
304,dry noodles,199,17,2020-06-29 23:38:35.966329
8763,BACON,100,1,2020-06-29 23:38:39.611955
8640,Ghost Dog Chow,750,1,2020-06-29 23:38:47.114949
8763,BACON,120,1,2020-06-29 23:39:17.290776
8763,BACON,169,1,2020-06-29 23:39:52.388867
8763,BACON,195,2,2020-06-29 23:40:28.868967
8763,BACON,200,3,2020-06-29 23:41:05.987975
8763,BACON,200,3,2020-06-29 23:41:40.732522
8763,BACON,222,3,2020-06-29 23:42:15.483640
346,scrumptious reagent,800,5,2020-06-29 23:43:55.463354
7004,Flaskfull of Hollow,500,3,2020-06-29 23:43:56.120597
7006,handful of Smithereens,3800,3,2020-06-29 23:43:56.763997
3511,scratch 'n' sniff UPC sticker,1000,3,2020-06-29 23:44:03.734829
9537,pocket wish,49000,1,2020-06-30 00:15:40.250706
9537,pocket wish,49900,3,2020-06-30 00:18:32.244754
8204,one-day ticket to Dinseylandfill,100000,1,2020-06-30 00:23:55.926386
9537,pocket wish,49750,3,2020-06-30 00:25:58.025780
8204,one-day ticket to Dinseylandfill,100000,3,2020-06-30 00:39:12.106556
8204,one-day ticket to Dinseylandfill,100000,4,2020-06-30 00:40:16.515063
2597,leathery bat skin,1500,1,2020-06-30 07:28:13.564490
7372,pie man was not meant to eat,1700,1,2020-06-30 07:28:24.475274
8994,Sacramento wine,100,3,2020-06-30 07:28:28.976565
4394,Crimbo fudge,1500,2,2020-06-30 07:28:29.869950
346,scrumptious reagent,875,5,2020-06-30 07:28:32.657328
4001,agua de vida,11110,3,2020-06-30 07:28:37.887774
4001,agua de vida,11110,3,2020-06-30 07:30:02.800050
4001,agua de vida,11111,3,2020-06-30 07:30:36.295015
9537,pocket wish,49875,1,2020-06-30 07:36:31.522845
3575,sand dollar,199,30,2020-06-30 08:04:03.709804
8204,one-day ticket to Dinseylandfill,92500,1,2020-06-30 08:44:20.950190
9537,pocket wish,49875,1,2020-06-30 08:44:39.535711
9537,pocket wish,49900,3,2020-06-30 08:46:06.556522
9537,pocket wish,49900,3,2020-06-30 08:46:39.592423
9537,pocket wish,49900,3,2020-06-30 08:47:12.945526
9537,pocket wish,49900,3,2020-06-30 08:47:45.898797
9537,pocket wish,49900,3,2020-06-30 09:13:00.591244
9537,pocket wish,49900,3,2020-06-30 09:13:56.490078
4470,BRICKO eye brick,1500,3,2020-06-30 09:14:01.552358
9537,pocket wish,49900,3,2020-06-30 09:14:32.848735
9537,pocket wish,49900,3,2020-06-30 09:15:08.462935
7370,Psychotic Train wine,1500,1,2020-06-30 09:21:16.846555
3511,scratch 'n' sniff UPC sticker,1000,1,2020-06-30 09:22:06.697701
4176,sugar sheet,1750,3,2020-06-30 09:23:27.130564
3326,voodoo snuff,31000,13,2020-06-30 09:33:23.667559
3326,voodoo snuff,29000,67,2020-06-30 09:33:58.174214
9537,pocket wish,49900,3,2020-06-30 09:43:39.066724
8763,BACON,169,100,2020-06-30 09:43:42.540410
9350,elemental sugarcube,574,25,2020-06-30 09:51:51.382881
9036,hacked gibson,3588,3,2020-06-30 09:52:02.448794
8763,BACON,155,100,2020-06-30 09:52:05.197206
4394,Crimbo fudge,1500,1,2020-06-30 09:53:47.216566
9537,pocket wish,49900,3,2020-06-30 09:57:57.228853
10259,grain of sand,321,293,2020-06-30 11:09:47.940512
2770,chunk of rock salt,2500,835,2020-06-30 11:09:54.534778
304,dry noodles,185,5,2020-06-30 11:10:01.185384
9537,pocket wish,49500,3,2020-06-30 11:10:02.092787
346,scrumptious reagent,775,10,2020-06-30 11:10:04.816660
4466,chocolate disco ball,3500,2,2020-06-30 11:10:08.112729
10259,grain of sand,333,3630,2020-06-30 11:11:26.701834
2770,chunk of rock salt,2500,841,2020-06-30 11:11:33.309251
304,dry noodles,189,5,2020-06-30 11:11:40.097873
346,scrumptious reagent,770,10,2020-06-30 11:11:43.159117
2770,chunk of rock salt,2500,617,2020-06-30 11:12:18.638133
304,dry noodles,195,55,2020-06-30 11:12:25.473704
346,scrumptious reagent,776,5,2020-06-30 11:12:29.413915
8763,BACON,234,1258,2020-06-30 11:12:32.442992
346,scrumptious reagent,777,90,2020-06-30 11:13:15.712341
8763,BACON,235,795,2020-06-30 11:13:17.424383
8763,BACON,240,98,2020-06-30 11:14:00.924997
9537,pocket wish,49900,60,2020-06-30 11:24:17.296069
9924,Special Seasoning,2500,3,2020-06-30 12:09:46.499482
304,dry noodles,199,5,2020-06-30 12:09:54.800793
346,scrumptious reagent,775,5,2020-06-30 12:09:58.017385
8763,BACON,240,111,2020-06-30 12:22:31.994477
4462,chocolate seal-clubbing club,5000,1,2020-06-30 12:31:47.539961
346,scrumptious reagent,800,5,2020-06-30 12:50:01.729206
3511,scratch 'n' sniff UPC sticker,1000,2,2020-06-30 12:50:12.677623
3575,sand dollar,200,8,2020-06-30 12:50:17.557320
4394,Crimbo fudge,700,2,2020-06-30 12:50:51.291981
8763,BACON,240,113,2020-06-30 13:03:27.314173
2979,fish-liver oil,300,8,2020-06-30 13:03:33.089470
304,dry noodles,185,3,2020-06-30 13:18:40.698306
10259,grain of sand,100,35,2020-06-30 13:34:42.883096
333,lime,1495,2,2020-06-30 13:51:32.594262
7370,Psychotic Train wine,1500,1,2020-06-30 14:38:39.294869
3511,scratch 'n' sniff UPC sticker,1000,17,2020-06-30 14:47:44.857448
346,scrumptious reagent,750,12,2020-06-30 14:48:25.595918
5644,shiny stones,100,25,2020-06-30 14:50:34.696159
346,scrumptious reagent,882,8,2020-06-30 15:14:08.877290
824,effervescent potion,490,10,2020-06-30 15:15:48.476382
8686,perfect ice cube,3528,4,2020-06-30 15:23:31.884352
5788,smut orc keepsake box,6250,5,2020-06-30 15:26:44.669879
304,dry noodles,199,5,2020-06-30 16:20:34.555867
8740,perfect mimosa,3200,7,2020-06-30 17:07:57.689367
304,dry noodles,199,5,2020-06-30 17:08:19.695679
824,effervescent potion,550,290,2020-06-30 17:08:20.247346
9537,pocket wish,49900,3,2020-06-30 17:08:20.784080
346,scrumptious reagent,900,1,2020-06-30 17:08:23.315057
8066,powdered gold,8200,5,2020-06-30 17:08:28.846467
8686,perfect ice cube,3100,765,2020-06-30 17:08:29.363019
2597,leathery bat skin,729,43,2020-06-30 17:09:42.012443
8763,BACON,169,100,2020-06-30 17:10:52.322115
8686,perfect ice cube,3000,1,2020-06-30 17:16:01.536301
2423,Mick's IcyVapoHotness Inhaler,14000,3,2020-06-30 17:23:16.837782
2423,Mick's IcyVapoHotness Inhaler,14000,2,2020-06-30 17:24:01.301413
2597,leathery bat skin,729,49,2020-06-30 17:25:00.834078
333,lime,1200,2,2020-06-30 17:50:35.489052
595,scroll of drastic healing,300,3,2020-06-30 17:52:09.650171
304,dry noodles,198,10,2020-06-30 17:52:25.996729
333,lime,1200,3,2020-06-30 17:54:34.520573
2328,drum machine,3000,1,2020-06-30 18:35:26.643740
7372,pie man was not meant to eat,1500,1,2020-06-30 18:41:45.887317
10259,grain of sand,100,2,2020-06-30 18:53:17.373145
706,porquoise,19000,2,2020-06-30 18:55:52.081493
443,beer lens,5000,1,2020-06-30 19:05:59.526667
8486,one-day ticket to That 70s Volcano,290000,1,2020-06-30 19:08:37.170979
9537,pocket wish,49900,3,2020-06-30 19:17:50.231424
304,dry noodles,199,5,2020-06-30 19:47:16.750955
9924,Special Seasoning,2800,300,2020-06-30 20:11:13.884656
9537,pocket wish,49901,3,2020-06-30 20:32:53.723331
6364,pulled blue taffy,500,4,2020-06-30 20:37:08.543349
4394,Crimbo fudge,700,4,2020-06-30 20:37:13.713073
304,dry noodles,199,20,2020-06-30 20:37:14.228209
9537,pocket wish,49900,6,2020-06-30 20:37:15.013652
333,lime,1700,2,2020-06-30 20:37:16.051109
346,scrumptious reagent,800,10,2020-06-30 20:37:17.419875
7004,Flaskfull of Hollow,500,6,2020-06-30 20:37:18.180521
3511,scratch 'n' sniff UPC sticker,1000,4,2020-06-30 20:37:27.418239
3575,sand dollar,200,7,2020-06-30 20:37:31.129186
8740,perfect mimosa,3200,1,2020-06-30 20:37:42.784152
3440,prismatic wad,9500,6,2020-06-30 20:37:53.207937
346,scrumptious reagent,875,12,2020-06-30 21:01:43.998190
4508,&quot;DRINK ME&quot; potion,125,1,2020-06-30 21:06:37.858902
346,scrumptious reagent,800,20,2020-06-30 21:16:41.534926
6364,pulled blue taffy,500,8,2020-06-30 21:17:18.639666
4394,Crimbo fudge,700,5,2020-06-30 21:17:24.054221
333,lime,1700,2,2020-06-30 21:17:26.108482
4463,chocolate turtle totem,4100,2,2020-06-30 21:17:29.608295
8686,perfect ice cube,3000,5,2020-06-30 21:17:32.777777
7065,grim fairy tale,8200,2,2020-06-30 21:17:33.587633
3760,breath mint,1700,1,2020-06-30 21:18:01.906427
8686,perfect ice cube,2600,2,2020-06-30 21:21:08.573704
2328,drum machine,2600,6,2020-06-30 21:50:51.995465
8763,BACON,240,100,2020-06-30 21:59:00.843998
4508,&quot;DRINK ME&quot; potion,100,2,2020-06-30 21:59:05.700441
304,dry noodles,200,5,2020-06-30 22:28:02.420006
9537,pocket wish,49900,3,2020-06-30 22:51:45.990982
4622,Game Grid ticket,700,1,2020-06-30 23:36:28.282825
8740,perfect mimosa,3200,7,2020-06-30 23:36:30.494739
1593,cold hi mein,288,1,2020-06-30 23:36:33.114241
595,scroll of drastic healing,750,1,2020-06-30 23:36:36.056113
10259,grain of sand,100,5,2020-06-30 23:36:39.681827
8994,Sacramento wine,100,3,2020-06-30 23:36:52.949104
304,dry noodles,199,20,2020-06-30 23:36:54.559337
346,scrumptious reagent,875,1,2020-06-30 23:36:57.869315
8763,BACON,100,1,2020-06-30 23:36:59.790474
3511,scratch 'n' sniff UPC sticker,1000,1,2020-06-30 23:37:09.081867
8640,Ghost Dog Chow,500,1,2020-06-30 23:37:10.295989
3575,sand dollar,200,1,2020-06-30 23:37:13.583685
595,scroll of drastic healing,750,1,2020-06-30 23:38:24.214698
346,scrumptious reagent,900,1,2020-06-30 23:38:45.262574
8763,BACON,200,3,2020-06-30 23:38:47.202199
8640,Ghost Dog Chow,750,1,2020-06-30 23:38:57.356958
8763,BACON,200,3,2020-06-30 23:39:36.474913
8763,BACON,222,3,2020-06-30 23:40:24.567708
3760,breath mint,1700,1,2020-06-30 23:52:41.718974
333,lime,1700,20,2020-06-30 23:52:54.494068
8763,BACON,100,2820,2020-06-30 23:52:58.056295
8686,perfect ice cube,3000,2,2020-06-30 23:53:02.419353
